Hospital Name,Address,Pin Code,PhONE NO,Fax,LATITUDE,LONGITUDE
Ganga Speciality Hospital,"# 59, Vidhatha School Road, Bangalore",562106,080-27830250,080-27830250,12.7096503,77.7014511
Arya Medical Centre,Dinkar Desai Road,581314,08388-230570,,14.6574629,74.3111707
Sharan Hospital,"Javali Bazar, Mahalingpur, Near Yellamma Temple",587312,08350-270669,08350-271591,16.3925467,75.1065181
Trishaladevi Super Speciality Eye Hospital,Krishna River Road,587314,08353-230004,08353-230004,16.4796975,75.1122614
Chittaragi Hospital,Bramanand Asram Road Bus Stand Road Rabkavi,587314,08353-231699,08353-231699,16.4726768,75.1049581
Dhanush Hospital,Mahaveer Road,587313,08354-226533,,16.182572,75.6980968
Baragi Hospital Bagalkot,"Near Durga Vihar, Rajiva Gandhi Circle",587101,08354-225335,08354-225335,16.1833776,75.6983502
Anugraha Nursing Home,"No 2, Vinayaka Circle, Palace Guttahalli Main Road",560003,080-23562042,080-23460935,12.9989898,77.5776748
Ashok Hospital,"#65, N.H.C.S. Lay-Out, 3Rd Stage, 4Th Block, Basaveshwar Nagar, Kamalanagar Main Road",560079,080-23226699,080-23224052,12.9948905,77.5347984
Ashraya Medinova Pvt Ltd,"Magadi Main Road, Sunkadakatte, Srigandadakaval",560091,080-23583783,080-23588424,12.988865,77.5078006
Ashwini Hospital,"#129, Katruguppa, Bsk 3Rd Stg",560085,080-26723002,080-26723002,13.0313399,77.5055985
Ashwini Hospital,"B.B.Road, Yelahanka",560064,080-28563877,080-42103882,13.0313399,77.5055985
Dr.Agarwal Hospitals,"15, Eagle Street, Langford Townlangford Town",560025,080-22240736,080-22221941,12.9569005,77.60476102
A.M. Hospital,"# 20/1, 2Nd Cross, Widia Layout, Vijayanagar",560040,080-23392851,080-23392851,12.9601022,77.5315556
Bangalore Baptist Hospital,"Bellary Road, Hebbal, Opp University Of Agricultural Sciences (Near Hebbal Flyower)",560024,080-23330321,080-23337817,13.03451365,77.59103279
Bharath Nursing Home,"# 1402, Near Vegitable Market, J.P Nagr 1St Phase, -Kanakapura Main Road",560078,080-26539923,080-26535804,12.9117746,77.5730574
Balaji Hospital,"40/1, J.J.R. Nagar Main Road, K.H. Ranganath Colony",560018,080-28916038,,12.9632506,77.5602901
Basavangudi Medical Centre,"84/1, R.V. Road, Basavanagudi",560004,080-26571638,080-26571638,12.9453043,77.5798656
Chaitanya Hospital,"No.80, 3Rd Cross, P&T Colony,R.T.Nagar",560032,080-23333581,080-23432633,13.0237316,77.5941463
Citi Hospital,"25/91, West Of Chord Road, 20Th Main, 2Nd Block, Rajajinagar",560010,080-23131777,080-23131555,12.9956506,77.5510696
Chandana Hospital,"#54, 4Th Cross, 4Th Main, Ngefnrupathunganagar, Nagarbhavi",560072,080-23213658,080-23213658,12.9579894,77.5114394
Chinmaya Mission Hospital,"1/1, C M H Road, Indiranagar",560038,080-25280461,080-25201900,12.9784826,77.6462222
Chord Road Hospital Pvt Ltd,"100/101,Lic Colony West Of Chord Road",560079,080-67192248,080-23239972,12.9981215,77.5404836
Chaitanya Medical Centre,"# 771/24, Khb , Asector, Yelahanka",560064,080-25972745,080-28561725,13.09249065,77.58633265
Chiranjeevi Hospital & Maternity Home,"16Th 2Nd Main, Sri Manjunatha Temple St, Mysore Bank Colony",560050,080-26917676,080-26697222,12.9386994,77.5518394
Dr.P.R. Desai Hospital Pvt Ltd,"# 6/6, Kumarkrupa Road, High Grounds, Sivananda Circle",560001,080-22260307,080-40914558,12.9863536,77.57921156
Dr. Vidyananda'S Surgery & Dia Centre,"2269, 22Nd Cross K R Roadk.R.Road",560070,080-26765771,080-26770281,12.9242515,77.573217
Dr.Rudrappa'S Hospital,#5 Rajaram Mohan Roy Corss Road,560025,080-22278788,080-22278797,12.9650303,77.5954946
Rotary Eye Hospital (A Unit Of Bangalore North Rotary Trust),"68Th Cross 10 A Main, 5Thblockrajajinagar",560010,080-23104020,080-23104020,12.9817233,77.5549364
